Homeologous_ID;Gene;is_Marker_of_Cluster;Specificity;Stability;Genome Asymmetry
TraesCS4A03G0535400;TraesCS4D03G0223700;6Pericycle_13Phloem;;;
TraesCS4A03G0535400;TraesCS4B03G0262700;6Pericycle_13Phloem_10Xylem;;;
TraesCS4A03G0540000;TraesCS4B03G0241000;5Unknown;specific;stable;
TraesCS4A03G0540000;TraesCS4A03G0540000;NA;;;
TraesCS4A03G0540000;TraesCS4D03G0203700;NA;;;
TraesCS4A03G0540100;TraesCS4B03G0241100;5Unknown_14RootCap;unspecific;unstable;
TraesCS4A03G0540100;TraesCS4D03G0203800;9Endodermis_5Unknown_14RootCap;;;
TraesCS4A03G0540100;TraesCS4A03G0540100;NA;;;
TraesCS4A03G0552000;TraesCS4B03G0252400;1Epidermis;unspecific;unstable;
TraesCS4A03G0552000;TraesCS4D03G0216200;2Cortex_1Epidermis;;;
TraesCS4A03G0552000;TraesCS4A03G0552000;NA;;;
TraesCS4A03G0553900;TraesCS4A03G0553900;7Epidermis_3Meristems_12DividingCells;unspecific;unstable;
TraesCS4A03G0553900;TraesCS4D03G0217400;7Epidermis_3Meristems_12DividingCells;;;
TraesCS4A03G0553900;TraesCS4B03G0254200;7Epidermis_3Meristems_12DividingCells_11Endodermis/Phloem;;;
TraesCS4A03G0554500;TraesCS4D03G0217900;8RootHair;specific;stable;D_dominant_8
TraesCS4A03G0554500;TraesCS4A03G0554500;NA;;;
TraesCS4A03G0554500;TraesCS4B03G0255000;NA;;;
TraesCS4A03G0555400;TraesCS4D03G0219100;5Unknown;specific;stable;A_suppressed_5
TraesCS4A03G0555400;TraesCS4A03G0555400;NA;;;
TraesCS4A03G0555400;TraesCS4B03G0256200;NA;;;
TraesCS4A03G0560500;TraesCS4A03G0560500;6Pericycle;unspecific;unstable;
TraesCS4A03G0560500;TraesCS4B03G0238600;6Pericycle;;;
TraesCS4A03G0560500;TraesCS4D03G0201600;6Pericycle_11Endodermis/Phloem;;;
TraesCS4A03G0569900;TraesCS4A03G0569900;12DividingCells;specific;stable;
TraesCS4A03G0569900;TraesCS4B03G0231600;12DividingCells;;;
TraesCS4A03G0569900;TraesCS4D03G0194000;12DividingCells;;;
TraesCS4A03G0571700;TraesCS4D03G0192600;10Xylem;specific;stable;D_dominant_10
TraesCS4A03G0571700;TraesCS4A03G0571700;NA;;;
TraesCS4A03G0571700;TraesCS4B03G0230100;NA;;;
TraesCS4A03G0576100;TraesCS4A03G0576100;9Endodermis;unspecific;unstable;
TraesCS4A03G0576100;TraesCS4B03G0219900;9Endodermis_10Xylem;;;
TraesCS4A03G0576100;TraesCS4D03G0180600;9Endodermis_4ProvascularCells_12DividingCells_10Xylem;;;
TraesCS4A03G0577400;TraesCS4D03G0181600;10Xylem;specific;stable;
TraesCS4A03G0577400;TraesCS4A03G0577400;NA;;;
TraesCS4A03G0577400;TraesCS4B03G0220600;NA;;;
TraesCS4A03G0585900;TraesCS4A03G0585900;14RootCap;specific;stable;A_dominant_14
TraesCS4A03G0585900;TraesCS4B03G0224500;14RootCap;;;
TraesCS4A03G0585900;TraesCS4D03G0186000;14RootCap;;;
TraesCS4A03G0594400;TraesCS4D03G0176200;14RootCap_10Xylem;unspecific;stable;
TraesCS4A03G0594400;TraesCS4A03G0594400;NA;;;
TraesCS4A03G0594400;TraesCS4B03G0213700;NA;;;
TraesCS4A03G0597400;TraesCS4B03G0209500;1Epidermis;specific;stable;A_suppressed_1
TraesCS4A03G0597400;TraesCS4A03G0597400;NA;;;
TraesCS4A03G0597400;TraesCS4D03G0173400;NA;;;
TraesCS4A03G0602500;TraesCS4A03G0602500;5Unknown;specific;stable;B_suppressed_5
TraesCS4A03G0602500;TraesCS4D03G0167800;5Unknown;;;
TraesCS4A03G0602500;TraesCS4B03G0204300;NA;;;
TraesCS4A03G0624900;TraesCS4A03G0624900;8RootHair;specific;stable;B_dominant_8
TraesCS4A03G0624900;TraesCS4B03G0178500;8RootHair;;;
TraesCS4A03G0624900;TraesCS4D03G0146500;8RootHair;;;
TraesCS4A03G0628000;TraesCS4B03G0175100;5Unknown_14RootCap;unspecific;stable;
TraesCS4A03G0628000;TraesCS4A03G0628000;NA;;;
TraesCS4A03G0628000;TraesCS4D03G0143700;NA;;;
TraesCS4A03G0633900;TraesCS4B03G0166900;10Xylem;specific;stable;
TraesCS4A03G0633900;TraesCS4D03G0139500;10Xylem;;;
TraesCS4A03G0633900;TraesCS4A03G0633900;NA;;;
TraesCS4A03G0634600;TraesCS4A03G0634600;13Phloem;specific;stable;
TraesCS4A03G0634600;TraesCS4B03G0165500;13Phloem;;;
TraesCS4A03G0634600;TraesCS4D03G0138500;NA;;;
TraesCS4A03G0645200;TraesCS4A03G0645200;12DividingCells;specific;stable;
TraesCS4A03G0645200;TraesCS4B03G0155200;12DividingCells;;;
TraesCS4A03G0645200;TraesCS4D03G0130900;12DividingCells;;;
TraesCS4A03G0652100;TraesCS4A03G0652100;12DividingCells;specific;stable;B_suppressed_12
TraesCS4A03G0652100;TraesCS4D03G0124600;12DividingCells;;;
TraesCS4A03G0652100;TraesCS4B03G0147400;NA;;;
TraesCS4A03G0653600;TraesCS4A03G0653600;10Xylem;specific;stable;
TraesCS4A03G0653600;TraesCS4B03G0146200;10Xylem;;;
TraesCS4A03G0653600;TraesCS4D03G0123200;10Xylem;;;
TraesCS4A03G0657400;TraesCS4D03G0118200;14RootCap;specific;stable;
TraesCS4A03G0657400;TraesCS4A03G0657400;NA;;;
TraesCS4A03G0657400;TraesCS4B03G0141400;NA;;;
TraesCS4A03G0658200;TraesCS4A03G0658200;5Unknown;specific;stable;
TraesCS4A03G0658200;TraesCS4B03G0139500;5Unknown;;;
TraesCS4A03G0658200;TraesCS4D03G0117700;NA;;;
TraesCS4A03G0663700;TraesCS4A03G0663700;14RootCap;unspecific;unstable;
TraesCS4A03G0663700;TraesCS4B03G0135300;14RootCap_10Xylem;;;
TraesCS4A03G0663700;TraesCS4D03G0114700;NA;;;
TraesCS4A03G0673100;TraesCS4A03G0673100;10Xylem;unspecific;unstable;
TraesCS4A03G0673100;TraesCS4B03G0123900;12DividingCells_10Xylem;;;
TraesCS4A03G0673100;TraesCS4D03G0105300;12DividingCells_10Xylem;;;
TraesCS4A03G0679100;TraesCS4D03G0098500;11Endodermis/Phloem;unspecific;unstable;
TraesCS4A03G0679100;TraesCS4A03G0679100;11Endodermis/Phloem_10Xylem;;;
TraesCS4A03G0679100;TraesCS4B03G0116400;NA;;;
TraesCS4A03G0679200;TraesCS4B03G0116300;11Endodermis/Phloem;specific;stable;
TraesCS4A03G0679200;TraesCS4D03G0098400;11Endodermis/Phloem;;;
TraesCS4A03G0679200;TraesCS4A03G0679200;NA;;;
TraesCS4A03G0683400;TraesCS4D03G0096100;8RootHair;specific;stable;D_dominant_8
TraesCS4A03G0683400;TraesCS4A03G0683400;NA;;;
TraesCS4A03G0683400;TraesCS4B03G0113000;NA;;;
TraesCS4A03G0683600;TraesCS4A03G0683600;13Phloem;specific;stable;B_suppressed_13
TraesCS4A03G0683600;TraesCS4D03G0095700;13Phloem;;;
TraesCS4A03G0683600;TraesCS4B03G0112600;NA;;;
TraesCS4A03G0683700;TraesCS4A03G0683700;8RootHair;specific;stable;
TraesCS4A03G0683700;TraesCS4B03G0112400;8RootHair;;;
TraesCS4A03G0683700;TraesCS4D03G0095600;8RootHair;;;
TraesCS4A03G0684900;TraesCS4B03G0111000;6Pericycle;specific;stable;B_dominant_6
TraesCS4A03G0684900;TraesCS4A03G0684900;NA;;;
TraesCS4A03G0684900;TraesCS4D03G0094300;NA;;;
TraesCS4A03G0686500;TraesCS4A03G0686500;8RootHair_4ProvascularCells_11Endodermis/Phloem;unspecific;stable;
TraesCS4A03G0686500;TraesCS4B03G0109500;8RootHair_4ProvascularCells_11Endodermis/Phloem;;;
TraesCS4A03G0686500;TraesCS4D03G0092700;8RootHair_4ProvascularCells_11Endodermis/Phloem;;;
TraesCS4A03G0686600;TraesCS4D03G0092400;5Unknown_14RootCap;unspecific;stable;
TraesCS4A03G0686600;TraesCS4A03G0686600;NA;;;
TraesCS4A03G0686600;TraesCS4B03G0109300;NA;;;
TraesCS4A03G0686700;TraesCS4A03G0686700;4ProvascularCells_11Endodermis/Phloem_10Xylem;unspecific;stable;
TraesCS4A03G0686700;TraesCS4B03G0109200;4ProvascularCells_11Endodermis/Phloem_10Xylem;;;
TraesCS4A03G0686700;TraesCS4D03G0092300;4ProvascularCells_11Endodermis/Phloem_10Xylem;;;
TraesCS4A03G0687000;TraesCS4A03G0687000;13Phloem;specific;stable;D_dominant_13
TraesCS4A03G0687000;TraesCS4B03G0108300;13Phloem;;;
TraesCS4A03G0687000;TraesCS4D03G0091800;13Phloem;;;
TraesCS4A03G0692200;TraesCS4D03G0085600;11Endodermis/Phloem;specific;stable;A_suppressed_11
TraesCS4A03G0692200;TraesCS4A03G0692200;NA;;;
TraesCS4A03G0692200;TraesCS4B03G0103000;NA;;;
TraesCS4A03G0694400;TraesCS4D03G0083900;6Pericycle;specific;stable;D_dominant_6
TraesCS4A03G0694400;TraesCS4A03G0694400;NA;;;
TraesCS4A03G0694400;TraesCS4B03G0101400;NA;;;
TraesCS4A03G0699100;TraesCS4A03G0699100;14RootCap;unspecific;unstable;
TraesCS4A03G0699100;TraesCS4B03G0096800;5Unknown_14RootCap;;;
TraesCS4A03G0699100;TraesCS4D03G0070000;NA;;;
TraesCS4A03G0699300;TraesCS4A03G0699300;14RootCap;specific;stable;A_dominant_14
TraesCS4A03G0699300;TraesCS4B03G0096500;14RootCap;;;
TraesCS4A03G0699300;TraesCS4D03G0069800;NA;;;
TraesCS4A03G0701000;TraesCS4B03G0094500;2Cortex;unspecific;unstable;
TraesCS4A03G0701000;TraesCS4D03G0068300;2Cortex;;;
TraesCS4A03G0701000;TraesCS4A03G0701000;2Cortex_11Endodermis/Phloem;;;
TraesCS4A03G0706400;TraesCS4B03G0088800;2Cortex;specific;stable;B_dominant_2
TraesCS4A03G0706400;TraesCS4D03G0064200;2Cortex;;;
TraesCS4A03G0706400;TraesCS4A03G0706400;NA;;;
TraesCS4A03G0710300;TraesCS4B03G0084000;5Unknown;specific;stable;
TraesCS4A03G0710300;TraesCS4A03G0710300;NA;;;
TraesCS4A03G0710300;TraesCS4D03G0059400;NA;;;
TraesCS4A03G0710600;TraesCS4A03G0710600;2Cortex;specific;stable;D_suppressed_2
TraesCS4A03G0710600;TraesCS4B03G0084400;NA;;;
TraesCS4A03G0710600;TraesCS4D03G0059800;NA;;;
TraesCS4A03G0710700;TraesCS4A03G0710700;5Unknown;specific;stable;
TraesCS4A03G0710700;TraesCS4B03G0084600;5Unknown;;;
TraesCS4A03G0710700;TraesCS4D03G0059900;5Unknown;;;
TraesCS4A03G0714200;TraesCS4A03G0714200;14RootCap;specific;stable;A_dominant_14
TraesCS4A03G0714200;TraesCS4B03G0078300;NA;;;
TraesCS4A03G0714200;TraesCS4D03G0056100;NA;;;
TraesCS4A03G0724100;TraesCS4A03G0724100;8RootHair;specific;stable;
TraesCS4A03G0724100;TraesCS4B03G0070100;8RootHair;;;
TraesCS4A03G0724100;TraesCS4D03G0049400;8RootHair;;;
TraesCS4A03G0726700;TraesCS4D03G0047000;14RootCap;specific;stable;
TraesCS4A03G0726700;TraesCS4A03G0726700;NA;;;
TraesCS4A03G0726700;TraesCS4B03G0067700;NA;;;
TraesCS4A03G0729500;TraesCS4A03G0729500;9Endodermis_10Xylem;unspecific;unstable;
TraesCS4A03G0729500;TraesCS4D03G0042800;9Endodermis_11Endodermis/Phloem_10Xylem;;;
TraesCS4A03G0729500;TraesCS4B03G0064300;NA;;;
TraesCS4A03G0740700;TraesCS4D03G0034500;5Unknown;specific;stable;D_dominant_5
TraesCS4A03G0740700;TraesCS4A03G0740700;NA;;;
TraesCS4A03G0740700;TraesCS4B03G0050300;NA;;;
TraesCS4A03G0740800;TraesCS4A03G0740800;5Unknown;specific;stable;
TraesCS4A03G0740800;TraesCS4B03G0050200;5Unknown;;;
TraesCS4A03G0740800;TraesCS4D03G0034400;NA;;;
TraesCS4A03G0741200;TraesCS4D03G0033700;5Unknown;specific;stable;D_dominant_5
TraesCS4A03G0741200;TraesCS4A03G0741200;NA;;;
TraesCS4A03G0741200;TraesCS4B03G0049500;NA;;;
TraesCS4A03G0744700;TraesCS4A03G0744700;7Epidermis_3Meristems_12DividingCells;unspecific;stable;
TraesCS4A03G0744700;TraesCS4B03G0041500;7Epidermis_3Meristems_12DividingCells;;;
TraesCS4A03G0744700;TraesCS4D03G0029500;7Epidermis_3Meristems_12DividingCells;;;
TraesCS4A03G0745200;TraesCS4A03G0745200;13Phloem;specific;stable;
TraesCS4A03G0745200;TraesCS4B03G0041200;13Phloem;;;
TraesCS4A03G0745200;TraesCS4D03G0029300;NA;;;
TraesCS4A03G0750600;TraesCS4A03G0750600;8RootHair;unspecific;unstable;
TraesCS4A03G0750600;TraesCS4D03G0024600;8RootHair;;;
TraesCS4A03G0750600;TraesCS4B03G0034900;8RootHair_2Cortex;;;
TraesCS4A03G0752100;TraesCS4A03G0752100;11Endodermis/Phloem;specific;stable;
TraesCS4A03G0752100;TraesCS4B03G0032900;NA;;;
TraesCS4A03G0752100;TraesCS4D03G0023200;NA;;;
TraesCS4A03G0754700;TraesCS4A03G0754700;13Phloem;specific;stable;D_dominant_13
TraesCS4A03G0754700;TraesCS4B03G0030200;13Phloem;;;
TraesCS4A03G0754700;TraesCS4D03G0020800;13Phloem;;;
TraesCS4A03G0754900;TraesCS4A03G0754900;9Endodermis_11Endodermis/Phloem;unspecific;stable;
TraesCS4A03G0754900;TraesCS4D03G0020600;9Endodermis_11Endodermis/Phloem;;;
TraesCS4A03G0754900;TraesCS4B03G0030000;NA;;;
TraesCS4A03G0755600;TraesCS4B03G0028500;14RootCap;unspecific;unstable;
TraesCS4A03G0755600;TraesCS4D03G0020000;8RootHair;;;
TraesCS4A03G0755600;TraesCS4A03G0755600;NA;;;
TraesCS4A03G0757700;TraesCS4A03G0757700;12DividingCells;specific;stable;
TraesCS4A03G0757700;TraesCS4B03G0027200;12DividingCells;;;
TraesCS4A03G0757700;TraesCS4D03G0018600;12DividingCells;;;
TraesCS4A03G0762900;TraesCS4B03G0021100;8RootHair;specific;stable;
TraesCS4A03G0762900;TraesCS4A03G0762900;NA;;;
TraesCS4A03G0762900;TraesCS3D03G0587800;NA;;;
TraesCS4A03G0763800;TraesCS4A03G0763800;9Endodermis_14RootCap;unspecific;stable;
TraesCS4A03G0763800;TraesCS4B03G0019900;NA;;;
TraesCS4A03G0763800;TraesCS4D03G0013500;NA;;;
TraesCS4A03G0786200;TraesCS4A03G0786200;6Pericycle;specific;stable;B_suppressed_6
TraesCS4A03G0786200;TraesCS5D03G1199300;6Pericycle;;;
TraesCS4A03G0786200;TraesCS5B03G1367500;NA;;;
TraesCS4A03G0793200;TraesCS5B03G1359600;6Pericycle;specific;stable;B_dominant_6
TraesCS4A03G0793200;TraesCS4A03G0793200;NA;;;
TraesCS4A03G0793200;TraesCS5D03G1206300;NA;;;
TraesCS4A03G0798100;TraesCS5D03G1211500;12DividingCells;specific;stable;
TraesCS4A03G0798100;TraesCS4A03G0798100;NA;;;
TraesCS4A03G0798100;TraesCS5B03G1353800;NA;;;
TraesCS4A03G0806100;TraesCS5D03G1218800;11Endodermis/Phloem;specific;stable;
TraesCS4A03G0806100;TraesCS4A03G0806100;NA;;;
TraesCS4A03G0806100;TraesCS5B03G1344600;NA;;;
TraesCS4A03G0812200;TraesCS4A03G0812200;10Xylem;specific;stable;
TraesCS4A03G0812200;TraesCS5B03G1337400;NA;;;
TraesCS4A03G0812200;TraesCS5D03G1197500;NA;;;
TraesCS4A03G0816500;TraesCS4A03G0816500;11Endodermis/Phloem;specific;stable;
TraesCS4A03G0816500;TraesCS5B03G1330200;NA;;;
TraesCS4A03G0816500;TraesCS5D03G1188300;NA;;;
TraesCS4A03G0829000;TraesCS4A03G0829000;1Epidermis;specific;stable;
TraesCS4A03G0829000;TraesCS5B03G1313100;1Epidermis;;;
TraesCS4A03G0829000;TraesCS5D03G1172700;7Epidermis_1Epidermis;;;
TraesCS4A03G0830400;TraesCS4A03G0830400;11Endodermis/Phloem;specific;stable;D_suppressed_11
TraesCS4A03G0830400;TraesCS5B03G1311300;NA;;;
TraesCS4A03G0830400;TraesCS5D03G1171000;NA;;;
TraesCS4A03G0833600;TraesCS4A03G0833600;1Epidermis;specific;stable;
TraesCS4A03G0833600;TraesCS5B03G1308300;1Epidermis;;;
TraesCS4A03G0833600;TraesCS5D03G1168800;NA;;;
TraesCS4A03G0842300;TraesCS4A03G0842300;5Unknown_14RootCap;unspecific;stable;
TraesCS4A03G0842300;TraesCS5B03G1301300;5Unknown_14RootCap;;;
TraesCS4A03G0842300;TraesCS5D03G1163500;5Unknown_14RootCap;;;
TraesCS4A03G0849100;TraesCS5B03G1292300;14RootCap;specific;stable;
TraesCS4A03G0849100;TraesCS4A03G0849100;NA;;;
TraesCS4A03G0849100;TraesCS5D03G1159300;NA;;;
TraesCS4A03G0873400;TraesCS4A03G0873400;1Epidermis;specific;stable;
TraesCS4A03G0873400;TraesCS5B03G1264200;8RootHair;;;
TraesCS4A03G0873400;TraesCS5D03G1133200;8RootHair_1Epidermis;;;
TraesCS4A03G0878500;TraesCS5D03G1127600;11Endodermis/Phloem;specific;stable;
TraesCS4A03G0878500;TraesCS4A03G0878500;NA;;;
TraesCS4A03G0878500;TraesCS5B03G1255600;NA;;;
TraesCS4A03G0879700;TraesCS4A03G0879700;4ProvascularCells;unspecific;unstable;
TraesCS4A03G0879700;TraesCS5B03G1253800;4ProvascularCells_11Endodermis/Phloem;;;
TraesCS4A03G0879700;TraesCS5D03G1126300;4ProvascularCells_11Endodermis/Phloem;;;
TraesCS4A03G0885100;TraesCS4A03G0885100;11Endodermis/Phloem;specific;stable;
TraesCS4A03G0885100;TraesCS5B03G1244300;11Endodermis/Phloem;;;
TraesCS4A03G0885100;TraesCS5D03G1121100;11Endodermis/Phloem;;;
TraesCS4A03G0885500;TraesCS4A03G0885500;14RootCap;unspecific;unstable;
TraesCS4A03G0885500;TraesCS5D03G1121400;2Cortex;;;
TraesCS4A03G0885500;TraesCS5B03G1244700;NA;;;
TraesCS4A03G0892000;TraesCS5B03G1240700;14RootCap_1Epidermis;unspecific;stable;
TraesCS4A03G0892000;TraesCS5D03G1118400;14RootCap_1Epidermis;;;
TraesCS4A03G0892000;TraesCS4A03G0892000;NA;;;
TraesCS4A03G0893600;TraesCS5B03G1239500;14RootCap;specific;stable;B_dominant_14
TraesCS4A03G0893600;TraesCS4A03G0893600;NA;;;
TraesCS4A03G0893600;TraesCS5D03G1116400;NA;;;
TraesCS4A03G0902500;TraesCS4A03G0902500;14RootCap;unspecific;unstable;
TraesCS4A03G0902500;TraesCS5D03G1107700;2Cortex_14RootCap;;;
TraesCS4A03G0902500;TraesCS5B03G1230500;6Pericycle_14RootCap;;;
TraesCS4A03G0909300;TraesCS5D03G1102600;14RootCap;specific;stable;
TraesCS4A03G0909300;TraesCS4A03G0909300;NA;;;
TraesCS4A03G0909300;TraesCS5B03G1220000;NA;;;
TraesCS4A03G0999700;TraesCS4A03G0999700;3Meristems;specific;stable;
TraesCS4A03G0999700;TraesCS2B03G0448900;3Meristems;;;
TraesCS4A03G0999700;TraesCS7D03G0261500;3Meristems;;;
TraesCS4A03G1005100;TraesCS4D03G0711900;14RootCap;unspecific;unstable;
TraesCS4A03G1005100;TraesCS4A03G1005100;5Unknown;;;
TraesCS4A03G1005100;TraesCS4B03G0795300;NA;;;
TraesCS4A03G1006400;TraesCS4A03G1006400;8RootHair;specific;stable;
TraesCS4A03G1006400;TraesCS4B03G0797200;8RootHair;;;
TraesCS4A03G1006400;TraesCS4D03G0713600;NA;;;
TraesCS4A03G1006800;TraesCS4A03G1006800;12DividingCells;specific;stable;B_suppressed_12
TraesCS4A03G1006800;TraesCS4B03G0797600;NA;;;
TraesCS4A03G1006800;TraesCS4D03G0714500;NA;;;
TraesCS4A03G1016800;TraesCS4A03G1016800;8RootHair_2Cortex_1Epidermis;unspecific;unstable;
TraesCS4A03G1016800;TraesCS4B03G0809400;9Endodermis_8RootHair_2Cortex_1Epidermis;;;
TraesCS4A03G1016800;TraesCS4D03G0725100;NA;;;
TraesCS4A03G1017100;TraesCS4A03G1017100;12DividingCells;specific;stable;A_suppressed_12
TraesCS4A03G1017100;TraesCS4B03G0809600;12DividingCells;;;
TraesCS4A03G1017100;TraesCS4D03G0725400;12DividingCells;;;
TraesCS4A03G1021800;TraesCS4B03G0817300;14RootCap;specific;stable;
TraesCS4A03G1021800;TraesCS4A03G1021800;NA;;;
TraesCS4A03G1021800;TraesCS4D03G0730500;NA;;;
TraesCS4A03G1043800;TraesCS4A03G1043800;14RootCap;unspecific;unstable;
TraesCS4A03G1043800;TraesCS7B03G0916600;3Meristems;;;
TraesCS4A03G1043800;TraesCS7D03G0139200;3Meristems_14RootCap;;;
TraesCS4A03G1141700;TraesCS3B03G1413400;14RootCap;specific;stable;B_dominant_14
TraesCS4A03G1141700;TraesCS4A03G1141700;NA;;;
TraesCS4A03G1141700;TraesCS3D03G1086600;NA;;;
TraesCS4A03G1188300;TraesCS4A03G1188300;7Epidermis_3Meristems_12DividingCells;unspecific;stable;
TraesCS4A03G1188300;TraesCS3B03G0036100;NA;;;
TraesCS4A03G1188300;TraesCS3D03G0014700;NA;;;
TraesCS5A03G0025000;TraesCS5A03G0025000;14RootCap;specific;stable;A_dominant_14
TraesCS5A03G0025000;TraesCS3B03G1182100;NA;;;
TraesCS5A03G0025000;TraesCS5D03G0034800;NA;;;
TraesCS5A03G0054700;TraesCS5D03G0067400;1Epidermis;specific;stable;
TraesCS5A03G0054700;TraesCS5B03G0043100;8RootHair_1Epidermis;;;
TraesCS5A03G0054700;TraesCS5A03G0054700;NA;;;
TraesCS5A03G0060700;TraesCS5A03G0060700;4ProvascularCells_11Endodermis/Phloem;unspecific;stable;
TraesCS5A03G0060700;TraesCS5D03G0077800;4ProvascularCells_11Endodermis/Phloem;;;
TraesCS5A03G0060700;TraesCS5B03G0053200;NA;;;
TraesCS5A03G0063500;TraesCS5D03G0085900;4ProvascularCells;specific;stable;B_suppressed_4
TraesCS5A03G0063500;TraesCS5A03G0063500;NA;;;
TraesCS5A03G0063500;TraesCS5B03G0059100;NA;;;
TraesCS5A03G0076300;TraesCS5A03G0076300;14RootCap_11Endodermis/Phloem;unspecific;stable;
TraesCS5A03G0076300;TraesCS5B03G0074400;NA;;;
TraesCS5A03G0076300;TraesCS5D03G0100400;NA;;;
TraesCS5A03G0078600;TraesCS5A03G0078600;8RootHair;specific;stable;
TraesCS5A03G0078600;TraesCS5D03G0102800;8RootHair_1Epidermis;;;
TraesCS5A03G0078600;TraesCS5B03G0079200;NA;;;
TraesCS5A03G0093200;TraesCS5A03G0093200;12DividingCells;specific;stable;
TraesCS5A03G0093200;TraesCS5B03G0097300;12DividingCells;;;
TraesCS5A03G0093200;TraesCS5D03G0112100;12DividingCells;;;
TraesCS5A03G0097900;TraesCS5B03G0104100;7Epidermis;unspecific;unstable;
TraesCS5A03G0097900;TraesCS5D03G0114500;7Epidermis;;;
TraesCS5A03G0097900;TraesCS5A03G0097900;7Epidermis_3Meristems;;;
TraesCS5A03G0099400;TraesCS5B03G0106700;8RootHair;specific;stable;
TraesCS5A03G0099400;TraesCS5D03G0116800;8RootHair;;;
TraesCS5A03G0099400;TraesCS5A03G0099400;NA;;;
TraesCS5A03G0133800;TraesCS5A03G0133800;13Phloem;specific;stable;D_dominant_13
TraesCS5A03G0133800;TraesCS5B03G0158100;13Phloem;;;
TraesCS5A03G0133800;TraesCS5D03G0156400;13Phloem;;;
TraesCS5A03G0141700;TraesCS5D03G0163100;10Xylem;specific;stable;
TraesCS5A03G0141700;TraesCS5A03G0141700;NA;;;
TraesCS5A03G0141700;TraesCS5B03G0152100;NA;;;
TraesCS5A03G0145000;TraesCS5D03G0165600;5Unknown;specific;stable;D_dominant_5
TraesCS5A03G0145000;TraesCS5A03G0145000;NA;;;
TraesCS5A03G0145000;TraesCS5B03G0150400;NA;;;
TraesCS5A03G0166000;TraesCS5A03G0166000;12DividingCells;specific;stable;
TraesCS5A03G0166000;TraesCS5D03G0181700;12DividingCells;;;
TraesCS5A03G0166000;TraesCS5B03G0168000;NA;;;
TraesCS5A03G0166300;TraesCS5D03G0182000;14RootCap;specific;stable;
TraesCS5A03G0166300;TraesCS5A03G0166300;NA;;;
TraesCS5A03G0166300;TraesCS5B03G0167200;NA;;;
TraesCS5A03G0175900;TraesCS5B03G0186400;10Xylem;specific;stable;
TraesCS5A03G0175900;TraesCS5A03G0175900;NA;;;
TraesCS5A03G0175900;TraesCS5D03G0194400;NA;;;
TraesCS5A03G0195400;TraesCS5D03G0225900;6Pericycle_4ProvascularCells_13Phloem_11Endodermis/Phloem;unspecific;stable;
TraesCS5A03G0195400;TraesCS5A03G0195400;NA;;;
TraesCS5A03G0195400;TraesCS5B03G0221800;NA;;;
TraesCS5A03G0196500;TraesCS5A03G0196500;12DividingCells;unspecific;unstable;
TraesCS5A03G0196500;TraesCS5B03G0220800;3Meristems;;;
TraesCS5A03G0196500;TraesCS5D03G0225000;3Meristems_12DividingCells;;;
TraesCS5A03G0197600;TraesCS5D03G0224000;12DividingCells;specific;stable;B_dominant_12
TraesCS5A03G0197600;TraesCS5A03G0197600;NA;;;
TraesCS5A03G0197600;TraesCS5B03G0219400;NA;;;
TraesCS5A03G0208200;TraesCS5B03G0211000;13Phloem;specific;stable;
TraesCS5A03G0208200;TraesCS5D03G0217600;13Phloem;;;
TraesCS5A03G0208200;TraesCS5A03G0208200;NA;;;
TraesCS5A03G0209700;TraesCS4D03G0246900;3Meristems;unspecific;unstable;
TraesCS5A03G0209700;TraesCS5A03G0209700;7Epidermis_3Meristems;;;
TraesCS5A03G0209700;TraesCS5B03G0222400;7Epidermis_3Meristems_12DividingCells;;;
TraesCS5A03G0212800;TraesCS5A03G0212800;10Xylem;specific;stable;D_dominant_10
TraesCS5A03G0212800;TraesCS5B03G0226300;10Xylem;;;
TraesCS5A03G0212800;TraesCS5D03G0230100;10Xylem;;;
TraesCS5A03G0229300;TraesCS5A03G0229300;12DividingCells;specific;stable;B_suppressed_12
TraesCS5A03G0229300;TraesCS5D03G0242100;12DividingCells;;;
TraesCS5A03G0229300;TraesCS5B03G0243400;NA;;;
TraesCS5A03G0233900;TraesCS5D03G0245800;8RootHair_1Epidermis;specific;stable;
TraesCS5A03G0233900;TraesCS5A03G0233900;NA;;;
TraesCS5A03G0233900;TraesCS5B03G0249200;NA;;;
TraesCS5A03G0242500;TraesCS5A03G0242500;4ProvascularCells;unspecific;unstable;
TraesCS5A03G0242500;TraesCS5B03G0259500;4ProvascularCells;;;
TraesCS5A03G0242500;TraesCS5D03G0255000;4ProvascularCells_11Endodermis/Phloem;;;
TraesCS5A03G0242800;TraesCS5D03G0255300;8RootHair;specific;stable;
TraesCS5A03G0242800;TraesCS5A03G0242800;8RootHair_1Epidermis;;;
TraesCS5A03G0242800;TraesCS5B03G0259700;8RootHair_1Epidermis;;;
TraesCS5A03G0247700;TraesCS5A03G0247700;3Meristems;specific;stable;
TraesCS5A03G0247700;TraesCS5B03G0263400;3Meristems;;;
TraesCS5A03G0247700;TraesCS5D03G0259500;3Meristems;;;
TraesCS5A03G0264700;TraesCS5B03G0273400;11Endodermis/Phloem;unspecific;unstable;
TraesCS5A03G0264700;TraesCS5D03G0270100;14RootCap_11Endodermis/Phloem_10Xylem;;;
TraesCS5A03G0264700;TraesCS5A03G0264700;6Pericycle_4ProvascularCells_14RootCap_11Endodermis/Phloem_10Xylem;;;
